Scenario,Life_Expectancy_2050,Difference_from_ARIMA
ARIMA Baseline,72.20629956396246,0.0
Physician Density Improvement,78.67562779043384,6.469328226471376
Hospital Beds Improvement,68.06190480716447,-4.144394756797993
Health Expenditure Improvement,80.33652769702917,8.130228133066709
UHC Coverage Improvement,65.58585714337158,-6.6204424205908765
Out-of-Pocket Reduction,81.47745198244246,9.27115241848
